date, networkCode, gatewayCode, sensorCode, value
2025-11-16 08:00:00, NET_01, GW_0101, S_010102, 10.94
2025-11-16 09:10:00, NET_01, GW_0101, S_010102, 10.88
2025-11-16 10:20:00, NET_01, GW_0101, S_010102, 15.04
2025-11-16 11:30:00, NET_01, GW_0101, S_010102, 16.61
2025-11-16 12:40:00, NET_01, GW_0101, S_010102, 18.89
2025-11-16 13:50:00, NET_01, GW_0101, S_010102, 14.70
2025-11-16 15:00:00, NET_01, GW_0101, S_010102, 18.54
2025-11-16 16:10:00, NET_01, GW_0101, S_010102, 10.68
2025-11-16 17:20:00, NET_01, GW_0101, S_010102, 18.82
2025-11-16 18:30:00, NET_01, GW_0101, S_010102, 20.26
2025-11-16 19:40:00, NET_01, GW_0101, S_010102, 17.71
2025-11-16 20:50:00, NET_01, GW_0101, S_010102, 16.61
2025-11-16 22:00:00, NET_01, GW_0101, S_010102, 17.46
2025-11-16 23:10:00, NET_01, GW_0101, S_010102, 16.73
2025-11-17 00:20:00, NET_01, GW_0101, S_010102, 21.26
2025-11-17 01:30:00, NET_01, GW_0101, S_010102, 17.09
2025-11-17 02:40:00, NET_01, GW_0101, S_010102, 15.66
2025-11-17 03:50:00, NET_01, GW_0101, S_010102, 21.84
2025-11-17 05:00:00, NET_01, GW_0101, S_010102, 18.36
2025-11-17 06:10:00, NET_01, GW_0101, S_010102, 18.58
2025-11-17 07:20:00, NET_01, GW_0101, S_010102, 21.79
2025-11-17 08:30:00, NET_01, GW_0101, S_010102, 15.33
2025-11-17 09:40:00, NET_01, GW_0101, S_010102, 12.21
2025-11-17 10:50:00, NET_01, GW_0101, S_010102, 13.45
2025-11-17 12:00:00, NET_01, GW_0101, S_010102, 13.96
2025-11-17 13:10:00, NET_01, GW_0101, S_010102, 16.49
2025-11-17 14:20:00, NET_01, GW_0101, S_010102, 10.70
2025-11-17 15:30:00, NET_01, GW_0101, S_010102, 12.18
2025-11-17 16:40:00, NET_01, GW_0101, S_010102, 20.02
2025-11-17 17:50:00, NET_01, GW_0101, S_010102, 11.82
2025-11-17 19:00:00, NET_01, GW_0101, S_010102, 14.75
2025-11-17 20:10:00, NET_01, GW_0101, S_010102, 14.58
2025-11-17 21:20:00, NET_01, GW_0101, S_010102, 17.85
2025-11-17 22:30:00, NET_01, GW_0101, S_010102, 13.10
2025-11-17 23:40:00, NET_01, GW_0101, S_010102, 13.35
2025-11-18 00:50:00, NET_01, GW_0101, S_010102, 16.86
2025-11-18 02:00:00, NET_01, GW_0101, S_010102, 20.82
2025-11-18 03:10:00, NET_01, GW_0101, S_010102, 10.96
2025-11-18 04:20:00, NET_01, GW_0101, S_010102, 20.90
2025-11-18 05:30:00, NET_01, GW_0101, S_010102, 10.17
2025-11-18 06:40:00, NET_01, GW_0101, S_010102, 21.18
2025-11-18 07:50:00, NET_01, GW_0101, S_010102, 20.70
2025-11-18 09:00:00, NET_01, GW_0101, S_010102, 11.15
2025-11-18 10:10:00, NET_01, GW_0101, S_010102, 16.02
2025-11-18 11:20:00, NET_01, GW_0101, S_010102, 12.13
2025-11-18 12:30:00, NET_01, GW_0101, S_010102, 12.48
2025-11-18 13:40:00, NET_01, GW_0101, S_010102, 19.36
2025-11-18 14:50:00, NET_01, GW_0101, S_010102, 16.74
2025-11-18 16:00:00, NET_01, GW_0101, S_010102, 15.71
2025-11-18 17:10:00, NET_01, GW_0101, S_010102, 10.54
2025-11-18 18:20:00, NET_01, GW_0101, S_010102, 16.44
2025-11-18 19:30:00, NET_01, GW_0101, S_010102, 13.08
2025-11-18 20:40:00, NET_01, GW_0101, S_010102, 17.09
2025-11-18 21:50:00, NET_01, GW_0101, S_010102, 14.28
2025-11-18 23:00:00, NET_01, GW_0101, S_010102, 11.59
2025-11-19 00:10:00, NET_01, GW_0101, S_010102, 16.68
2025-11-19 01:20:00, NET_01, GW_0101, S_010102, 19.53
2025-11-19 02:30:00, NET_01, GW_0101, S_010102, 18.99
2025-11-19 03:40:00, NET_01, GW_0101, S_010102, 16.36
2025-11-19 04:50:00, NET_01, GW_0101, S_010102, 19.83
2025-11-19 06:00:00, NET_01, GW_0101, S_010102, 15.32
2025-11-19 07:10:00, NET_01, GW_0101, S_010102, 10.82
2025-11-19 08:20:00, NET_01, GW_0101, S_010102, 14.43
2025-11-19 09:30:00, NET_01, GW_0101, S_010102, 14.92
2025-11-19 10:40:00, NET_01, GW_0101, S_010102, 19.92
2025-11-19 11:50:00, NET_01, GW_0101, S_010102, 14.05
2025-11-19 13:00:00, NET_01, GW_0101, S_010102, 19.06
2025-11-19 14:10:00, NET_01, GW_0101, S_010102, 13.78
2025-11-19 15:20:00, NET_01, GW_0101, S_010102, 10.42
2025-11-19 16:30:00, NET_01, GW_0101, S_010102, 13.02
2025-11-19 17:40:00, NET_01, GW_0101, S_010102, 13.65
2025-11-19 18:50:00, NET_01, GW_0101, S_010102, 19.41
2025-11-19 20:00:00, NET_01, GW_0101, S_010102, 15.29
2025-11-19 21:10:00, NET_01, GW_0101, S_010102, 21.91
2025-11-19 22:20:00, NET_01, GW_0101, S_010102, 13.13
2025-11-19 23:30:00, NET_01, GW_0101, S_010102, 10.06
2025-11-20 00:40:00, NET_01, GW_0101, S_010102, 16.83
2025-11-20 01:50:00, NET_01, GW_0101, S_010102, 13.58
2025-11-20 03:00:00, NET_01, GW_0101, S_010102, 20.13
2025-11-20 04:10:00, NET_01, GW_0101, S_010102, 10.19
2025-11-20 05:20:00, NET_01, GW_0101, S_010102, 11.82
2025-11-20 06:30:00, NET_01, GW_0101, S_010102, 13.67
2025-11-20 07:40:00, NET_01, GW_0101, S_010102, 13.18
2025-11-20 08:50:00, NET_01, GW_0101, S_010102, 15.77
2025-11-20 10:00:00, NET_01, GW_0101, S_010102, 18.65
2025-11-20 11:10:00, NET_01, GW_0101, S_010102, 21.86
2025-11-20 12:20:00, NET_01, GW_0101, S_010102, 21.24
2025-11-20 13:30:00, NET_01, GW_0101, S_010102, 16.21
2025-11-20 14:40:00, NET_01, GW_0101, S_010102, 15.04
2025-11-20 15:50:00, NET_01, GW_0101, S_010102, 11.45
2025-11-20 17:00:00, NET_01, GW_0101, S_010102, 14.86
2025-11-20 18:10:00, NET_01, GW_0101, S_010102, 12.03
2025-11-20 19:20:00, NET_01, GW_0101, S_010102, 16.40
2025-11-20 20:30:00, NET_01, GW_0101, S_010102, 16.79
2025-11-20 21:40:00, NET_01, GW_0101, S_010102, 11.47
2025-11-20 22:50:00, NET_01, GW_0101, S_010102, 19.39
2025-11-21 00:00:00, NET_01, GW_0101, S_010102, 14.69
2025-11-21 01:10:00, NET_01, GW_0101, S_010102, 15.67
2025-11-21 02:20:00, NET_01, GW_0101, S_010102, 14.98
2025-11-21 03:30:00, NET_01, GW_0101, S_010102, 15.72
